Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,Yes,Travel_Frequently,1032,Research & Development,13,2,Life Sciences,1,339,3,Female,77,2,3,Research Scientist,1,Married,5198,13586,2,Y,Yes,11,4,2,80,1,25,3,4,6,0,2,2
45,No,Travel_Rarely,1189,Sales,1,2,Medical,1,340,2,Male,47,3,5,Sales Executive,3,Single,12118,5392,3,Y,No,11,4,1,80,0,10,2,3,3,2,0,3
27,Yes,Non-Travel,1365,Research & Development,10,3,Medical,1,341,2,Male,52,3,5,Research Director,2,Single,11502,13684,6,Y,No,13,3,1,80,0,7,2,1,7,1,7,0
40,Yes,Travel_Frequently,1220,Research & Development,15,2,Technical Degree,1,342,4,Male,84,3,4,Healthcare Representative,4,Single,7876,25980,5,Y,Yes,16,3,1,80,0,6,2,2,0,0,0,0
53,No,Travel_Rarely,499,Sales,9,3,Medical,1,343,3,Female,71,1,3,Sales Executive,3,Single,6717,14658,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
35,No,Travel_Rarely,989,Research & Development,1,3,Life Sciences,1,344,3,Female,32,2,3,Research Scientist,3,Married,6833,16273,1,Y,No,15,3,2,80,1,16,3,3,12,0,0,5
29,No,Travel_Frequently,150,Research & Development,1,3,Life Sciences,1,345,3,Male,81,3,2,Research Scientist,3,Divorced,5452,23754,0,Y,No,12,3,2,80,2,0,2,3,0,0,0,0
31,Yes,Travel_Rarely,246,Research & Development,3,2,Life Sciences,1,346,4,Female,40,3,3,Manager,1,Married,5845,12346,0,Y,Yes,13,3,4,80,0,10,4,2,5,0,0,5
27,No,Travel_Frequently,1018,Research & Development,2,2,Medical,1,347,2,Male,84,3,2,Laboratory Technician,3,Married,5373,20004,1,Y,No,19,3,3,80,2,9,6,3,5,0,1,5
29,No,Travel_Rarely,499,Sales,29,4,Marketing,1,348,2,Male,54,4,2,Sales Representative,4,Married,4061,16626,5,Y,No,11,3,4,80,1,26,1,3,9,0,1,1
33,No,Travel_Rarely,872,Research & Development,9,4,Life Sciences,1,349,3,Male,70,2,3,Research Director,4,Divorced,5431,14996,7,Y,No,17,4,3,80,0,0,0,3,0,0,0,0
24,No,Travel_Rarely,772,Research & Development,3,2,Life Sciences,1,350,3,Female,66,4,2,Laboratory Technician,4,Divorced,5079,20628,2,Y,No,14,3,3,80,1,4,4,3,4,4,2,3
37,Yes,Travel_Rarely,1428,Research & Development,23,2,Life Sciences,1,351,4,Male,84,1,2,Research Scientist,4,Single,5532,15575,3,Y,No,12,3,2,80,0,10,2,2,6,6,2,5
45,No,Travel_Rarely,529,Research & Development,12,1,Life Sciences,1,352,4,Male,38,3,5,Research Scientist,1,Divorced,12570,4250,4,Y,No,11,3,2,80,1,9,2,3,2,2,0,2
28,No,Travel_Frequently,1142,Research & Development,3,3,Life Sciences,1,353,3,Male,65,3,1,Research Director,2,Married,1540,12709,8,Y,Yes,11,3,1,80,0,7,2,4,1,1,1,1
50,No,Travel_Rarely,182,Sales,4,4,Technical Degree,1,354,1,Male,86,3,2,Sales Representative,1,Divorced,5059,4888,7,Y,No,12,3,4,80,1,10,5,3,10,4,3,7
41,No,Travel_Rarely,285,Sales,2,3,Life Sciences,1,355,4,Female,92,1,4,Sales Representative,2,Married,8172,6337,0,Y,No,14,3,4,80,1,2,3,3,0,0,0,0
46,No,Travel_Rarely,568,Research & Development,29,3,Medical,1,356,3,Male,49,3,3,Manufacturing Director,1,Married,7126,25304,1,Y,Yes,17,3,1,80,0,13,0,3,9,4,0,9
31,No,Travel_Rarely,384,Sales,6,4,Medical,1,357,3,Male,76,2,2,Sales Executive,3,Single,3323,17454,0,Y,No,13,3,1,80,0,0,0,2,0,0,0,0
44,No,Travel_Frequently,1196,Research & Development,20,4,Life Sciences,1,358,3,Male,49,2,1,Manager,4,Single,1489,5136,3,Y,No,14,3,3,80,0,10,2,3,5,5,0,3
27,No,Travel_Frequently,191,Human Resources,3,1,Marketing,1,359,3,Male,35,2,2,Manager,4,Married,3879,25173,4,Y,No,14,4,2,80,1,6,2,3,6,2,0,3
45,No,Travel_Rarely,810,Research & Development,17,2,Medical,1,360,2,Female,58,3,4,Laboratory Technician,4,Divorced,8563,8986,1,Y,Yes,16,3,3,80,2,18,3,3,13,5,0,0
38,No,Travel_Rarely,743,Research & Development,1,1,Medical,1,361,4,Male,78,3,2,Manager,4,Married,3987,6185,6,Y,Yes,17,3,1,80,0,23,4,2,2,1,1,1
41,No,Travel_Rarely,1490,Research & Development,29,4,Technical Degree,1,362,4,Male,35,2,2,Manufacturing Director,1,Married,5027,21712,2,Y,No,11,3,3,80,0,8,2,3,3,0,0,3
26,No,Travel_Rarely,304,Research & Development,21,4,Life Sciences,1,363,3,Male,68,3,1,Manufacturing Director,1,Divorced,3321,2529,9,Y,No,14,4,2,80,1,20,2,2,4,0,1,1
28,Yes,Travel_Frequently,1356,Research & Development,4,3,Human Resources,1,364,3,Male,61,2,1,Healthcare Representative,3,Married,2979,4466,0,Y,Yes,19,3,3,80,0,8,2,2,8,4,8,0
42,No,Travel_Rarely,700,Human Resources,13,1,Medical,1,365,1,Female,78,3,5,Manager,2,Single,11795,12490,1,Y,No,11,3,1,80,1,4,0,3,4,0,4,1
28,Yes,Travel_Rarely,107,Research & Development,12,2,Medical,1,366,1,Female,72,3,2,Research Director,2,Single,4832,2205,1,Y,No,15,3,3,80,0,23,5,3,0,0,0,0
41,Yes,Travel_Rarely,458,Human Resources,20,2,Human Resources,1,367,2,Female,57,3,3,Human Resources,2,Single,5526,5128,0,Y,Yes,14,3,4,80,1,14,2,4,13,6,0,4
24,No,Non-Travel,1271,Research & Development,3,3,Technical Degree,1,368,2,Male,74,4,1,Laboratory Technician,2,Divorced,3590,7668,5,Y,No,13,3,2,80,1,11,2,3,11,0,0,7
44,No,Non-Travel,156,Sales,5,2,Medical,1,369,4,Female,94,3,3,Sales Representative,3,Divorced,6015,7982,0,Y,No,20,3,4,80,0,15,1,3,15,2,3,2
25,No,Non-Travel,1192,Sales,18,1,Marketing,1,370,4,Female,79,4,5,Sales Executive,3,Single,11228,11382,5,Y,No,15,3,4,80,1,12,3,3,9,4,0,0
41,No,Travel_Frequently,248,Sales,13,4,Medical,1,371,3,Male,83,3,3,Sales Executive,3,Single,7758,26652,0,Y,Yes,20,3,4,80,1,10,5,3,6,4,0,4
42,No,Travel_Frequently,687,Sales,4,2,Medical,1,372,3,Female,80,3,1,Sales Executive,4,Divorced,2865,7143,1,Y,Yes,15,3,4,80,0,1,1,2,1,1,1,1
30,No,Travel_Frequently,1081,Sales,16,3,Life Sciences,1,373,1,Female,72,3,3,Sales Executive,3,Divorced,5303,9454,6,Y,No,16,3,3,80,0,9,3,4,9,6,0,7
42,No,Travel_Frequently,837,Research & Development,1,2,Life Sciences,1,374,4,Male,93,2,3,Research Director,2,Married,5765,19435,8,Y,No,12,3,4,80,0,15,0,3,15,5,3,2
39,No,Non-Travel,1357,Sales,13,4,Technical Degree,1,375,3,Male,59,3,2,Sales Representative,1,Married,5558,23309,2,Y,No,13,3,1,80,1,10,4,3,10,7,3,3
32,No,Travel_Rarely,796,Research & Development,2,3,Life Sciences,1,376,1,Female,71,4,4,Laboratory Technician,2,Single,8364,7062,8,Y,No,16,3,3,80,0,17,3,3,7,3,2,3
27,Yes,Travel_Rarely,1221,Research & Development,3,4,Life Sciences,1,377,3,Male,67,2,3,Research Scientist,4,Married,6563,10379,3,Y,Yes,16,3,4,80,1,13,3,2,0,0,0,0
19,Yes,Travel_Rarely,955,Sales,6,3,Technical Degree,1,378,4,Female,95,3,4,Sales Executive,4,Single,9107,21244,2,Y,No,17,3,4,80,1,4,3,3,3,1,0,2
40,Yes,Travel_Rarely,349,Research & Development,5,4,Life Sciences,1,379,4,Female,98,3,3,Healthcare Representative,3,Divorced,7057,8919,6,Y,Yes,16,3,4,80,2,1,4,1,0,0,0,0
22,No,Travel_Frequently,233,Sales,6,4,Life Sciences,1,380,1,Female,44,3,1,Sales Representative,2,Married,2723,2761,1,Y,Yes,11,4,4,80,1,9,2,3,5,2,0,0
37,No,Travel_Frequently,1195,Sales,7,3,Medical,1,381,4,Male,90,3,2,Sales Executive,3,Divorced,4333,26401,1,Y,No,12,4,4,80,1,7,3,2,7,2,2,2
34,No,Travel_Rarely,450,Research & Development,3,4,Medical,1,382,2,Male,35,2,1,Healthcare Representative,3,Married,2249,2608,4,Y,Yes,17,4,4,80,1,13,3,3,6,2,0,6
43,No,Travel_Rarely,543,Research & Development,1,3,Marketing,1,383,1,Male,53,3,4,Healthcare Representative,3,Divorced,9186,6383,2,Y,No,11,4,4,80,3,5,3,4,5,1,2,5
34,No,Non-Travel,357,Research & Development,13,3,Medical,1,384,4,Female,43,3,3,Healthcare Representative,3,Married,6942,12387,1,Y,No,16,4,3,80,0,6,2,3,6,4,6,2
34,No,Travel_Rarely,606,Research & Development,4,1,Medical,1,385,4,Female,41,3,3,Manager,3,Married,6294,2905,0,Y,Yes,14,3,4,80,0,18,2,3,4,0,0,4
43,No,Travel_Rarely,517,Research & Development,6,3,Marketing,1,386,3,Female,84,3,2,Laboratory Technician,3,Married,5365,17662,5,Y,No,17,3,4,80,0,12,1,3,7,4,0,3
40,No,Travel_Frequently,420,Sales,9,4,Medical,1,387,3,Male,97,3,1,Sales Representative,4,Single,2396,24185,4,Y,No,16,4,4,80,1,6,3,3,6,6,0,0
39,No,Travel_Rarely,417,Sales,21,4,Medical,1,388,4,Female,73,3,3,Sales Executive,1,Divorced,5818,24327,2,Y,No,12,4,4,80,0,11,3,4,7,2,1,0
41,No,Travel_Rarely,1087,Research & Development,11,2,Human Resources,1,389,4,Female,80,2,2,Healthcare Representative,4,Married,3892,24550,7,Y,Yes,12,3,2,80,0,20,1,4,7,7,0,7
23,No,Travel_Rarely,1099,Research & Development,1,3,Life Sciences,1,390,4,Male,67,3,1,Research Director,1,Married,1717,19998,2,Y,No,13,3,1,80,1,13,3,3,2,2,2,2
43,No,Travel_Rarely,431,Human Resources,16,2,Life Sciences,1,391,3,Male,70,3,3,Manager,1,Divorced,6282,7843,4,Y,No,17,3,4,80,3,15,4,3,4,0,1,0
42,No,Travel_Rarely,1257,Research & Development,29,3,Life Sciences,1,392,4,Female,73,3,1,Research Director,4,Divorced,3486,19956,7,Y,No,11,4,3,80,3,5,2,3,5,3,1,0
27,No,Travel_Rarely,1269,Research & Development,5,2,Medical,1,393,4,Female,45,2,2,Research Scientist,4,Married,3855,17533,6,Y,No,15,3,2,80,1,18,2,2,14,4,2,2
34,Yes,Travel_Rarely,1372,Research & Development,29,4,Life Sciences,1,394,1,Female,79,2,2,Manufacturing Director,1,Divorced,4650,20479,3,Y,No,11,3,1,80,1,27,4,3,0,0,0,0
36,Yes,Travel_Rarely,1188,Research & Development,7,2,Medical,1,395,4,Male,67,3,1,Manager,3,Single,1974,24296,4,Y,Yes,15,3,4,80,2,5,3,3,0,0,0,0
35,No,Travel_Frequently,1361,Human Resources,5,2,Technical Degree,1,396,3,Male,34,3,5,Manager,2,Single,10291,20616,2,Y,No,16,4,4,80,2,2,1,3,2,0,2,0
40,Yes,Travel_Rarely,902,Research & Development,3,4,Medical,1,397,3,Female,38,4,1,Research Scientist,3,Married,1291,5163,4,Y,Yes,11,3,4,80,2,12,2,4,12,0,3,2
49,No,Travel_Rarely,224,Research & Development,9,3,Life Sciences,1,398,3,Female,68,4,1,Research Scientist,4,Married,2323,18828,1,Y,No,14,3,3,80,1,17,3,3,3,2,0,3
46,No,Travel_Rarely,371,Research & Development,2,1,Technical Degree,1,399,1,Female,56,3,1,Research Scientist,4,Married,2345,20783,2,Y,No,15,3,3,80,0,10,3,1,10,2,0,0
25,No,Travel_Rarely,109,Research & Development,1,3,Life Sciences,1,400,3,Female,61,3,3,Research Director,3,Married,6932,25686,1,Y,No,15,3,2,80,0,3,3,3,3,0,0,2
42,No,Travel_Rarely,831,Sales,1,1,Marketing,1,401,4,Male,93,3,2,Sales Representative,2,Married,4678,25348,0,Y,Yes,14,3,1,80,2,10,3,2,6,1,0,6
48,Yes,Travel_Rarely,443,Research & Development,3,5,Medical,1,402,2,Female,62,2,2,Research Scientist,3,Divorced,3541,23269,3,Y,No,11,3,4,80,0,15,4,3,11,5,0,5
40,No,Non-Travel,787,Research & Development,4,3,Life Sciences,1,403,3,Male,47,3,1,Manufacturing Director,2,Married,3367,16733,6,Y,No,11,3,1,80,0,8,2,1,3,3,2,3
46,No,Non-Travel,1440,Research & Development,7,2,Other,1,404,4,Male,96,3,1,Healthcare Representative,4,Divorced,2668,3358,0,Y,No,11,3,3,80,1,15,3,3,5,5,3,2
55,No,Travel_Rarely,929,Research & Development,3,3,Life Sciences,1,405,3,Male,34,3,2,Healthcare Representative,4,Divorced,4658,20035,1,Y,No,16,3,3,80,0,19,6,4,11,7,0,4
46,No,Travel_Rarely,437,Research & Development,29,1,Other,1,406,2,Female,88,4,4,Manufacturing Director,3,Single,8492,23438,2,Y,Yes,14,3,3,80,2,12,2,2,6,6,1,2
39,No,Travel_Rarely,849,Research & Development,3,4,Life Sciences,1,407,3,Female,33,4,4,Manufacturing Director,2,Single,8085,24866,4,Y,No,14,4,4,80,0,10,4,3,10,6,0,1
46,No,Travel_Rarely,962,Sales,5,4,Life Sciences,1,408,3,Male,45,3,1,Sales Executive,2,Married,2674,11071,1,Y,No,11,3,1,80,0,16,2,3,11,2,1,0
38,No,Travel_Frequently,357,Research & Development,1,4,Life Sciences,1,409,3,Male,77,3,2,Laboratory Technician,1,Divorced,4880,8828,0,Y,No,14,3,4,80,3,5,2,4,5,4,1,5
37,No,Travel_Rarely,217,Sales,2,3,Life Sciences,1,410,4,Female,95,3,4,Sales Executive,4,Single,7102,22384,3,Y,No,17,3,1,80,0,4,5,3,4,2,4,3
33,No,Travel_Frequently,892,Research & Development,1,3,Marketing,1,411,3,Female,37,4,2,Research Director,3,Single,4068,16733,6,Y,No,11,3,1,80,2,9,0,2,9,3,0,4
51,No,Non-Travel,1210,Human Resources,7,1,Marketing,1,412,4,Female,73,2,4,Manager,2,Divorced,8296,26535,0,Y,No,13,3,3,80,1,7,2,2,5,4,0,4
29,Yes,Travel_Rarely,151,Human Resources,12,3,Technical Degree,1,413,3,Male,50,3,1,Human Resources,3,Married,2704,15940,2,Y,Yes,11,3,1,80,1,5,3,3,5,5,1,5
50,No,Travel_Rarely,1289,Research & Development,1,3,Life Sciences,1,414,2,Male,55,3,5,Healthcare Representative,4,Single,11454,14492,4,Y,No,13,3,4,80,0,23,2,3,1,1,1,1
41,Yes,Travel_Rarely,1273,Research & Development,4,3,Medical,1,415,3,Male,64,3,3,Research Scientist,1,Single,5882,21911,1,Y,No,11,3,3,80,1,26,3,3,13,3,0,2
24,Yes,Travel_Rarely,656,Research & Development,1,4,Medical,1,416,4,Male,44,1,5,Manufacturing Director,4,Divorced,10101,12593,1,Y,Yes,16,3,1,80,0,8,2,1,8,4,0,1
40,Yes,Non-Travel,1261,Sales,16,2,Medical,1,417,3,Male,69,4,3,Sales Executive,4,Divorced,6089,2759,3,Y,No,15,4,1,80,3,11,1,2,11,5,1,0
18,No,Travel_Rarely,1343,Research & Development,13,1,Marketing,1,418,1,Male,59,3,2,Laboratory Technician,4,Single,3858,16960,8,Y,No,19,3,3,80,0,9,2,3,9,6,0,0
42,No,Travel_Rarely,607,Research & Development,1,1,Medical,1,419,1,Male,95,3,5,Research Director,3,Married,10222,5751,1,Y,No,14,3,4,80,0,18,3,2,11,0,11,2
44,No,Travel_Frequently,1497,Research & Development,4,2,Life Sciences,1,420,2,Male,42,2,2,Manager,2,Divorced,5116,17667,2,Y,No,16,3,3,80,2,20,3,3,7,0,1,0
31,No,Travel_Rarely,335,Research & Development,27,1,Technical Degree,1,421,2,Female,30,3,2,Research Scientist,3,Married,3656,22626,2,Y,No,13,3,3,80,1,0,3,2,0,0,0,0
38,No,Travel_Rarely,876,Research & Development,4,3,Marketing,1,422,4,Male,72,4,3,Laboratory Technician,2,Divorced,6842,16619,7,Y,Yes,11,3,4,80,1,14,3,2,12,3,1,7
54,No,Travel_Rarely,1240,Sales,6,3,Medical,1,423,1,Male,57,2,3,Sales Representative,1,Married,5138,16046,0,Y,No,17,3,3,80,1,1,2,4,1,1,0,1
32,No,Travel_Rarely,290,Research & Development,3,2,Life Sciences,1,424,4,Female,30,4,5,Research Scientist,3,Divorced,10050,12477,3,Y,No,19,4,2,80,0,23,3,3,10,3,1,2
27,No,Travel_Rarely,1322,Sales,8,4,Life Sciences,1,425,2,Female,69,3,1,Sales Executive,3,Married,2236,8997,6,Y,No,17,3,3,80,0,14,1,3,14,3,1,10
50,No,Travel_Rarely,651,Research & Development,29,2,Life Sciences,1,426,2,Female,63,4,4,Healthcare Representative,4,Single,9839,7393,9,Y,No,15,3,3,80,3,5,2,2,2,2,1,0
54,No,Travel_Rarely,625,Research & Development,29,4,Life Sciences,1,427,3,Female,42,3,3,Research Director,1,Married,6280,20020,4,Y,Yes,11,3,4,80,0,9,3,3,1,0,1,1
37,No,Travel_Rarely,922,Research & Development,13,3,Life Sciences,1,428,2,Female,90,3,1,Research Scientist,3,Married,1009,18309,2,Y,No,18,3,3,80,1,8,2,3,5,4,0,3
46,No,Travel_Rarely,115,Research & Development,4,3,Technical Degree,1,429,4,Female,95,3,2,Laboratory Technician,4,Divorced,2900,2811,2,Y,No,17,3,4,80,1,14,3,3,11,4,4,6
49,No,Non-Travel,1068,Sales,6,4,Medical,1,430,1,Female,33,3,2,Sales Representative,4,Single,4527,21617,2,Y,No,22,3,2,80,0,18,2,3,10,5,3,4
30,No,Travel_Rarely,961,Sales,3,1,Medical,1,431,3,Female,42,3,2,Sales Executive,4,Divorced,4991,5014,3,Y,No,11,3,4,80,1,2,3,3,1,1,0,0
32,No,Travel_Rarely,1370,Research & Development,29,3,Life Sciences,1,432,4,Male,65,3,5,Research Scientist,4,Single,10800,2748,5,Y,No,18,3,3,80,1,23,2,3,11,5,0,4
48,No,Non-Travel,1427,Research & Development,11,4,Other,1,433,3,Male,90,1,3,Healthcare Representative,4,Married,6634,8422,6,Y,No,16,3,4,80,2,22,6,3,0,0,0,0
52,No,Non-Travel,534,Sales,5,3,Life Sciences,1,434,2,Female,87,4,3,Sales Executive,2,Single,7429,26368,2,Y,No,13,3,1,80,0,4,2,3,1,1,0,0
42,No,Travel_Frequently,713,Sales,1,2,Technical Degree,1,435,3,Male,44,3,5,Sales Representative,3,Married,10068,25211,4,Y,No,19,3,3,80,0,11,3,2,6,6,1,6
29,No,Travel_Rarely,563,Research & Development,6,3,Other,1,436,4,Female,41,4,2,Research Scientist,1,Married,5215,5905,7,Y,No,16,3,4,80,2,22,4,3,3,3,0,3
54,Yes,Travel_Rarely,979,Sales,29,4,Marketing,1,437,4,Male,98,3,4,Sales Representative,1,Married,7194,16531,7,Y,No,11,3,4,80,0,19,3,3,12,3,4,6
32,No,Travel_Rarely,385,Research & Development,6,4,Other,1,438,4,Male,90,3,2,Laboratory Technician,2,Single,3776,20227,4,Y,No,14,4,1,80,1,8,3,3,8,6,0,0
33,No,Travel_Frequently,724,Research & Development,1,1,Medical,1,439,2,Female,71,2,4,Laboratory Technician,1,Married,7054,17841,4,Y,No,11,3,3,80,1,16,3,3,16,8,0,6
40,Yes,Travel_Rarely,901,Sales,1,1,Life Sciences,1,440,4,Male,61,3,1,Sales Executive,2,Divorced,2280,24295,3,Y,Yes,13,3,1,80,1,31,3,3,5,2,0,5
50,No,Travel_Rarely,818,Sales,3,3,Life Sciences,1,441,1,Female,31,3,5,Sales Executive,1,Married,10462,8205,1,Y,No,17,3,4,80,1,11,4,4,6,1,0,4
44,No,Travel_Rarely,635,Human Resources,22,2,Life Sciences,1,442,1,Female,37,4,1,Manager,1,Single,2591,13013,1,Y,Yes,18,3,4,80,0,6,0,3,6,0,3,3
40,No,Travel_Rarely,783,Research & Development,29,2,Life Sciences,1,443,4,Female,83,3,2,Manager,4,Single,4549,19559,2,Y,No,15,3,1,80,1,12,4,3,6,6,1,1
41,No,Travel_Rarely,1493,Research & Development,26,2,Marketing,1,444,2,Male,37,3,3,Laboratory Technician,1,Divorced,5757,25252,1,Y,No,12,3,4,80,0,12,3,3,12,0,0,3
37,No,Travel_Frequently,1122,Research & Development,11,2,Life Sciences,1,445,1,Female,42,3,2,Manufacturing Director,4,Married,4347,14469,3,Y,No,16,3,4,80,3,7,4,3,7,3,4,2
42,No,Travel_Rarely,1282,Human Resources,7,2,Technical Degree,1,446,2,Female,58,3,3,Manager,1,Single,5302,7457,4,Y,No,17,3,3,80,0,14,0,3,0,0,0,0
18,No,Travel_Rarely,835,Human Resources,8,4,Life Sciences,1,447,3,Female,42,1,2,Manager,4,Divorced,5590,12627,3,Y,Yes,11,3,4,80,1,2,4,2,2,0,2,1
34,No,Travel_Frequently,262,Research & Development,6,2,Medical,1,448,4,Female,87,3,3,Manufacturing Director,4,Married,6257,5295,0,Y,No,15,4,3,80,1,6,1,3,6,3,3,5
39,No,Travel_Rarely,275,Research & Development,11,2,Other,1,449,3,Female,92,3,1,Laboratory Technician,3,Single,2108,9092,0,Y,No,14,3,3,80,0,16,3,2,12,1,1,1
26,No,Travel_Rarely,1006,Sales,4,2,Life Sciences,1,450,2,Female,76,3,1,Sales Executive,4,Divorced,3771,7425,1,Y,No,18,3,2,80,1,0,2,4,0,0,0,0
40,Yes,Travel_Rarely,1461,Research & Development,9,4,Marketing,1,451,3,Female,67,3,2,Research Director,1,Married,3506,13045,1,Y,Yes,16,3,2,80,0,17,3,3,3,3,0,3
35,No,Travel_Rarely,127,Research & Development,1,4,Marketing,1,452,4,Male,98,4,2,Research Scientist,4,Married,3599,18768,9,Y,No,16,3,3,80,0,0,3,4,0,0,0,0
52,No,Travel_Rarely,1424,Research & Development,2,4,Life Sciences,1,453,4,Male,98,3,1,Research Director,4,Married,1623,9054,2,Y,No,13,3,1,80,0,0,2,3,0,0,0,0
51,No,Travel_Rarely,538,Research & Development,16,1,Medical,1,454,2,Male,69,3,2,Laboratory Technician,4,Divorced,4445,7832,1,Y,No,15,3,4,80,2,7,3,3,7,6,4,5
32,No,Non-Travel,860,Sales,21,4,Life Sciences,1,455,4,Male,30,3,2,Sales Representative,3,Single,4845,5517,0,Y,No,18,4,2,80,0,13,2,3,6,3,1,3
35,No,Non-Travel,112,Research & Development,6,3,Marketing,1,456,4,Female,31,3,1,Research Scientist,2,Single,3091,13452,4,Y,No,14,3,3,80,3,20,3,3,6,2,5,6
36,No,Travel_Rarely,1363,Sales,1,2,Medical,1,457,1,Male,58,2,3,Sales Executive,4,Single,8557,5593,4,Y,No,15,3,4,80,0,11,3,4,10,4,0,4
32,No,Travel_Rarely,720,Research & Development,23,3,Medical,1,458,1,Female,36,3,4,Manufacturing Director,2,Married,6700,26651,1,Y,No,11,3,3,80,1,9,1,2,9,4,2,7
38,Yes,Travel_Rarely,1459,Sales,10,4,Marketing,1,459,1,Male,86,3,1,Sales Representative,3,Married,2986,15180,7,Y,No,14,3,3,80,2,15,3,3,0,0,0,0
30,Yes,Travel_Rarely,1438,Sales,4,4,Life Sciences,1,460,4,Male,84,2,3,Sales Executive,1,Married,6054,26282,6,Y,Yes,11,3,4,80,3,4,3,3,3,3,2,3
26,No,Travel_Rarely,1126,Sales,8,4,Marketing,1,461,2,Male,65,4,3,Sales Executive,4,Single,6030,24046,1,Y,No,13,3,4,80,0,11,2,1,0,0,0,0
42,Yes,Travel_Rarely,624,Research & Development,5,4,Technical Degree,1,462,3,Male,36,2,2,Manufacturing Director,1,Married,4004,19321,2,Y,No,15,3,2,80,1,2,5,3,2,2,0,2
42,No,Travel_Rarely,189,Research & Development,5,2,Human Resources,1,463,1,Male,39,2,3,Manufacturing Director,2,Married,5772,17067,2,Y,No,17,3,3,80,0,11,3,3,5,2,0,0
29,Yes,Travel_Rarely,343,Research & Development,19,3,Technical Degree,1,464,4,Male,68,3,2,Manufacturing Director,3,Married,5847,19391,2,Y,Yes,11,3,4,80,0,10,2,3,7,0,7,3
45,No,Travel_Rarely,1110,Human Resources,1,1,Life Sciences,1,465,2,Female,87,3,2,Human Resources,4,Divorced,5173,22917,6,Y,No,16,3,3,80,1,5,1,3,0,0,0,0
31,No,Travel_Frequently,1257,Research & Development,1,4,Other,1,466,4,Male,69,2,1,Healthcare Representative,3,Married,2518,24145,1,Y,Yes,20,3,3,80,0,12,3,3,5,1,1,1
39,Yes,Travel_Frequently,699,Sales,1,2,Life Sciences,1,467,4,Male,43,2,3,Sales Executive,2,Married,7580,26374,2,Y,No,12,3,2,80,0,12,2,3,12,9,1,5
44,No,Travel_Rarely,1453,Research & Development,3,4,Medical,1,468,1,Female,30,3,3,Healthcare Representative,1,Single,5289,22468,2,Y,Yes,11,3,1,80,0,19,2,2,15,3,0,2
36,No,Travel_Rarely,212,Sales,1,3,Life Sciences,1,469,3,Male,46,3,1,Sales Executive,4,Married,1435,11262,2,Y,No,16,3,4,80,0,0,0,3,0,0,0,0
41,No,Non-Travel,390,Human Resources,2,3,Other,1,470,1,Male,78,2,2,Human Resources,4,Divorced,2757,3294,6,Y,Yes,11,4,4,80,0,10,3,3,0,0,0,0
32,Yes,Travel_Rarely,175,Sales,1,1,Marketing,1,471,4,Male,45,3,5,Sales Executive,4,Divorced,9940,25867,1,Y,Yes,12,4,4,80,2,5,3,3,5,0,4,5
35,No,Travel_Rarely,209,Human Resources,2,3,Marketing,1,472,3,Male,36,1,2,Human Resources,3,Single,4629,20126,1,Y,No,18,3,4,80,0,17,2,1,11,0,1,5
35,No,Travel_Rarely,902,Sales,3,4,Life Sciences,1,473,1,Female,44,2,2,Sales Representative,4,Married,4582,2215,3,Y,No,21,3,2,80,1,16,3,2,6,3,1,6
30,No,Travel_Rarely,838,Research & Development,1,1,Marketing,1,474,1,Male,50,3,4,Research Director,3,Single,8619,6464,1,Y,Yes,11,3,1,80,1,14,5,2,0,0,0,0
35,No,Travel_Rarely,1230,Research & Development,8,3,Marketing,1,475,3,Female,95,3,3,Healthcare Representative,3,Divorced,5371,11245,0,Y,No,12,3,4,80,1,6,6,3,6,5,6,4
23,No,Travel_Rarely,178,Human Resources,7,1,Medical,1,476,4,Female,88,3,3,Human Resources,3,Married,7142,5909,2,Y,No,13,3,2,80,1,17,4,3,3,3,3,3
32,No,Travel_Rarely,304,Sales,1,3,Life Sciences,1,477,4,Male,77,1,4,Sales Executive,3,Married,8691,6501,1,Y,No,13,4,2,80,1,0,4,2,0,0,0,0
34,No,Travel_Frequently,952,Research & Development,8,2,Medical,1,478,4,Female,79,3,4,Research Scientist,4,Single,9086,16847,2,Y,No,21,4,4,80,1,0,2,3,0,0,0,0
34,No,Travel_Rarely,1366,Human Resources,29,2,Life Sciences,1,479,3,Male,39,3,2,Human Resources,3,Divorced,2985,19830,1,Y,No,13,3,3,80,1,2,2,3,2,2,0,2
34,No,Travel_Rarely,901,Research & Development,26,4,Medical,1,480,1,Male,81,3,2,Laboratory Technician,2,Married,4749,23700,0,Y,No,13,3,2,80,3,10,3,3,6,3,3,5
36,No,Travel_Rarely,808,Research & Development,1,3,Life Sciences,1,481,4,Male,97,4,2,Research Scientist,2,Single,3549,2781,3,Y,No,20,3,4,80,3,15,3,4,6,2,3,1
